City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,25,16,16,0.37,5,64,49,6
阿克苏地区,83,33,113,0.4,15,78,52,8
阿拉善盟,53,20,54,0.4,7,77,71,7
阿勒泰地区,16,6,15,1.05,24,26,31,26
阿里地区,67,11,82,0.55,4,82,63,4
安康,14,7,13,0.8,21,17,16,11
安庆,40,28,38,0.57,18,69,64,6
鞍山,40,20,39,0.57,32,38,44,11
安顺,53,36,47,0.83,26,19,20,12
安阳,56,39,51,0.96,33,29,25,12
白城,35,9,34,0.45,16,48,55,10
百色,17,8,16,0.85,12,23,17,5
白山,26,5,18,1.2,24,42,51,11
白银,30,15,29,0.45,13,69,53,7
保定,36,21,35,0.42,27,47,50,8
宝鸡,33,23,27,0.51,33,23,21,4
保山,36,7,26,0.45,4,88,71,4
包头,52,23,52,0.83,36,42,35,25
巴彦淖尔,38,16,37,0.37,15,66,58,6
巴中,11,3,8,0.68,13,29,21,2
北海,28,11,27,0.65,8,55,44,6
北京,34,12,33,0.37,31,39,52,2
蚌埠,69,49,67,0.6,30,60,56,6
本溪,30,15,29,0.72,26,32,50,12
毕节,34,23,33,0.85,26,15,16,13
滨州,33,8,23,0.23,16,62,65,7
博州,68,47,83,0.5,19,49,34,23
亳州,56,19,60,0.55,22,30,22,5
沧州,52,32,51,1.03,45,38,45,18
长春,26,13,25,0.63,33,33,46,6
常德,54,37,49,0.78,22,56,56,5
昌都,24,8,23,0.7,19,52,41,3
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,66,37,79,0.73,22,57,46,9
长沙,32,22,22,0.76,36,24,25,6
常熟,38,19,26,0.53,32,75,75,13
长治,53,32,53,1.02,29,20,32,6
常州,43,29,42,0.75,44,42,45,10
朝阳,45,21,44,0.95,29,39,45,16
潮州,60,36,46,0.77,13,114,110,13
承德,32,11,31,0.66,32,38,54,14
成都,26,11,25,0.66,31,32,40,5
郴州,15,7,14,1.04,27,20,23,4
赤峰,28,6,27,0.53,25,41,48,8
池州,50,35,39,0.77,45,55,52,13
重庆,47,27,46,0.88,33,7,7,8
崇左,42,23,41,1.05,23,16,23,6
楚雄州,33,5,14,0.35,6,80,64,14
滁州,54,37,38,0.57,31,38,65,4
大连,31,9,23,0.37,18,58,60,5
大理州,46,8,23,0.55,7,100,90,5
丹东,31,11,30,0.48,20,48,57,10
大庆,34,8,33,0.48,35,32,51,13
大同,50,28,49,0.8,41,27,40,47
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,26,8,16,0.3,13,44,50,19
达州,31,16,30,0.72,38,45,43,4
德宏州,38,14,37,0.5,9,84,62,4
德阳,22,9,21,0.4,15,40,38,2
德州,46,17,45,0.53,27,52,47,10
定西,54,21,56,0.3,17,69,63,14
迪庆州,40,5,31,0.45,3,79,78,5
东莞,55,38,55,0.72,61,39,67,6
东营,36,7,20,0.15,16,70,71,4
鄂尔多斯,28,8,24,0.5,20,61,54,10
恩施州,56,31,59,0.85,41,7,9,5
鄂州,41,21,40,0.6,33,34,39,4
防城港,37,21,36,0.57,16,39,28,8
佛山,22,15,19,0.94,35,3,12,4
抚顺,28,10,21,0.35,27,39,55,10
阜新,45,22,44,0.43,24,45,57,29
阜阳,131,99,146,0.7,29,11,25,3
富阳,36,8,18,0.7,31,66,71,2
福州,35,21,34,0.9,54,20,32,6
抚州,25,16,24,0.48,16,37,25,5
甘南州,39,23,38,0.0,14,77,58,16
赣州,20,11,19,1.42,23,31,29,16
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,33,17,32,0.6,8,58,48,10
广安,24,13,23,0.72,19,15,18,6
广元,22,11,21,0.43,17,35,39,4
广州,25,15,24,0.95,37,7,16,4
贵港,13,8,12,0.85,12,32,21,4
桂林,22,6,9,0.75,15,47,43,7
贵阳,30,14,29,0.58,21,37,37,5
果洛州,39,13,24,0.0,6,97,77,6
固原,44,12,43,0.57,8,74,65,4
哈尔滨,34,11,33,0.53,27,41,53,12
海北州,75,9,97,0.8,10,102,98,38
海东地区,36,19,25,0.3,15,84,70,11
海口,23,8,19,0.43,10,37,45,2
海门,41,13,26,0.6,15,75,80,6
海南州,42,20,25,0.7,5,88,83,10
海西州,47,5,37,0.7,8,100,92,4
哈密地区,53,16,54,0.55,11,38,30,12
邯郸,57,21,61,0.68,24,49,39,9
杭州,23,12,22,0.71,37,40,42,7
汉中,22,15,21,0.83,26,21,25,11
鹤壁,65,42,78,1.0,45,22,33,10
河池,17,5,16,0.9,10,23,22,7
合肥,115,86,80,1.03,37,48,51,4
鹤岗,30,15,25,0.5,11,52,58,7
黑河,39,9,38,0.57,17,44,54,14
衡水,48,28,47,0.63,24,47,47,8
衡阳,15,10,13,0.93,29,23,21,8
和田地区,124,59,196,0.7,25,37,35,7
河源,26,9,25,0.83,18,24,30,5
菏泽,53,19,54,0.67,28,40,40,20
贺州,15,10,14,0.85,13,25,24,10
红河州,29,5,14,0.33,6,55,57,8
淮安,47,27,46,0.52,17,62,54,5
淮北,54,34,55,0.57,36,31,34,12
怀化,38,23,37,0.9,10,59,65,2
淮南,97,72,90,0.58,28,65,57,14
黄冈,48,26,47,0.55,29,32,44,5
黄南州,37,20,36,1.1,18,75,67,19
黄山,29,13,24,0.43,14,51,57,6
黄石,35,16,34,0.6,27,38,34,4
呼和浩特,44,16,43,0.71,26,42,40,14
惠州,48,26,47,0.6,19,84,88,7
葫芦岛,35,20,34,0.68,22,48,57,30
呼伦贝尔,28,8,18,0.35,10,56,55,2
湖州,59,41,54,0.77,49,60,55,13
佳木斯,28,11,27,0.28,17,40,51,6
吉安,32,16,31,0.7,28,19,24,10
江门,35,20,34,1.1,41,3,21,5
江阴,39,17,25,0.57,28,74,76,5
胶南,48,10,47,0.3,22,58,60,7
胶州,39,9,38,0.4,28,61,65,5
焦作,67,48,75,0.8,26,61,62,6
嘉兴,24,14,22,0.6,39,45,47,3
嘉峪关,60,27,67,1.25,34,50,38,51
揭阳,69,35,79,1.0,24,145,121,14
吉林,30,18,29,0.67,24,45,53,8
即墨,40,6,39,0.3,20,60,57,4
济南,41,16,40,0.3,27,47,48,5
金昌,76,41,100,0.6,45,36,49,262
晋城,54,37,52,0.73,29,28,34,5
景德镇,24,13,23,0.46,9,52,40,5
荆门,154,117,138,1.2,41,16,24,11
荆州,121,91,151,1.57,36,23,35,10
金华,33,15,32,0.5,31,33,25,5
济宁,48,19,47,0.53,22,44,51,7
金坛,48,29,47,0.8,40,52,73,8
晋中,50,34,49,0.48,34,45,41,9
锦州,36,14,35,0.48,29,45,56,25
九江,43,30,40,0.34,15,69,66,7
酒泉,59,23,65,0.9,19,65,56,28
鸡西,26,13,18,0.3,18,41,51,2
句容,43,21,42,0.75,35,46,82,4
开封,78,57,60,0.68,29,25,28,12
喀什地区,151,72,250,0.55,14,60,43,5
克拉玛依,116,87,136,0.94,29,63,41,9
克州,140,48,227,0.4,10,67,56,2
库尔勒,99,42,146,0.47,12,62,44,5
昆明,34,11,23,0.6,17,68,66,9
昆山,39,9,14,0.6,18,82,77,7
来宾,21,13,20,1.0,17,21,16,6
莱芜,46,20,45,0.37,25,53,55,12
莱西,36,8,22,0.35,11,68,70,4
莱州,38,7,20,0.45,11,72,74,7
廊坊,39,15,38,0.5,42,34,46,5
兰州,49,26,48,0.52,25,55,48,16
拉萨,43,7,42,0.35,11,83,63,3
乐山,25,14,24,0.52,19,41,26,2
凉山州,30,13,23,0.7,16,83,59,15
连云港,37,12,36,0.58,26,54,55,12
聊城,42,20,41,0.5,29,46,43,5
辽阳,33,17,32,0.5,28,38,46,9
辽源,31,16,17,0.35,20,48,60,4
丽江,36,12,35,0.83,11,75,69,7
临安,23,10,17,0.7,44,43,45,7
临沧,33,5,17,0.7,5,81,65,11
临汾,78,57,74,1.68,36,38,29,26
临夏州,40,28,34,0.55,7,79,62,22
临沂,46,16,45,0.33,23,58,59,4
林芝,49,9,48,0.4,4,85,74,3
林芝地区,18,4,16,0.35,6,51,35,3
丽水,22,15,18,0.77,32,29,24,5
六盘水,42,27,41,0.86,28,30,29,18
柳州,15,9,14,0.9,16,33,21,6
溧阳,38,24,37,0.7,31,71,72,3
陇南,30,20,29,0.45,12,59,49,7
龙岩,17,10,13,0.8,22,45,32,4
娄底,30,19,29,0.98,13,56,57,2
六安,120,90,129,0.85,39,65,56,3
漯河,61,43,52,0.6,29,29,28,14
洛阳,63,44,61,0.77,33,24,24,10
泸州,18,10,17,0.45,21,14,16,3
吕梁,65,28,77,0.83,44,21,17,28
马鞍山,43,18,42,0.75,29,57,79,5
茂名,32,12,31,0.4,8,52,56,5
眉山,18,6,16,0.48,20,31,34,4
梅州,53,31,54,0.97,41,38,68,9
绵阳,21,10,13,0.45,13,43,40,4
牡丹江,28,16,26,0.42,23,39,54,2
南昌,28,17,27,0.63,28,48,45,4
南充,24,14,23,0.57,18,49,45,4
南京,36,17,28,0.56,27,35,70,4
南宁,19,11,18,1.31,28,11,11,7
南平,20,8,9,0.65,11,33,38,3
南通,45,20,26,0.44,17,87,88,12
南阳,60,42,58,0.72,31,38,40,5
那曲地区,26,11,19,0.5,5,54,51,3
内江,20,14,15,0.6,17,23,25,2
宁波,24,12,21,0.55,39,43,47,6
宁德,22,15,18,0.63,29,31,34,5
怒江州,61,28,70,0.75,12,80,58,8
盘锦,33,13,23,0.4,20,53,64,8
攀枝花,30,14,29,0.66,26,83,57,14
蓬莱,39,2,15,0.5,9,77,77,5
平顶山,69,49,74,0.73,27,25,33,11
平度,35,11,21,0.35,11,69,69,4
平凉,39,18,38,0.3,15,65,60,7
萍乡,20,11,19,0.96,18,42,31,5
普洱,23,5,12,0.3,10,63,45,4
莆田,27,17,26,0.7,25,38,46,5
濮阳,75,54,66,1.15,44,14,30,11
黔东南州,24,11,15,0.8,21,43,47,5
黔南州,24,6,16,0.5,12,45,46,20
黔西南州,20,13,18,0.75,8,47,38,2
青岛,42,10,41,0.44,24,47,50,4
庆阳,52,15,51,0.57,18,47,52,15
